[Wed Apr 10 21:47:47.714599 2019] [php7:warn] [pid 2875] [client 127.0.0.1:52502] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:47.714656 2019] [php7:error] [pid 2875] [client 127.0.0.1:52502] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:47.958740 2019] [php7:warn] [pid 1195] [client 127.0.0.1:52504] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:47.958806 2019] [php7:error] [pid 1195] [client 127.0.0.1:52504] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.176865 2019] [php7:warn] [pid 1194] [client 127.0.0.1:52506] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.176907 2019] [php7:error] [pid 1194] [client 127.0.0.1:52506] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.419161 2019] [php7:warn] [pid 3008] [client 127.0.0.1:52508] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.419224 2019] [php7:error] [pid 3008] [client 127.0.0.1:52508] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.646014 2019] [php7:warn] [pid 3000] [client 127.0.0.1:52510] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.646054 2019] [php7:error] [pid 3000] [client 127.0.0.1:52510] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.825558 2019] [php7:warn] [pid 2833] [client 127.0.0.1:52512] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:48.825608 2019] [php7:error] [pid 2833] [client 127.0.0.1:52512] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.300939 2019] [php7:warn] [pid 1191] [client 127.0.0.1:52514] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.301013 2019] [php7:error] [pid 1191] [client 127.0.0.1:52514] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.461182 2019] [php7:warn] [pid 1193] [client 127.0.0.1:52516] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.461241 2019] [php7:error] [pid 1193] [client 127.0.0.1:52516] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.851390 2019] [php7:warn] [pid 1192] [client 127.0.0.1:52518] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.851450 2019] [php7:error] [pid 1192] [client 127.0.0.1:52518] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.981870 2019] [php7:warn] [pid 3009] [client 127.0.0.1:52520] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:47:49.981907 2019] [php7:error] [pid 3009] [client 127.0.0.1:52520] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
